Symbol,GSM8245471,GSM8245473,GSM8245474,GSM8245475,GSM8245476,GSM8245477,GSM8245478
FMO2,1465,135,367,489,251,76,102
FMO1,86,36,71,21,56,24,1
FMO4,82,12,62,124,57,98,47
TOP1P1,13,2,6,17,8,27,4
PRRC2C,4254,2093,3665,6552,5536,6665,6216
MYOCOS,0,0,0,1,0,0,1
MYOC,4,0,1,15,0,1,0
VAMP4,305,79,255,288,213,259,232
LOC105371614,1,0,0,0,2,4,0
METTL13,146,186,92,399,167,535,192
DNM3,316,125,534,368,315,347,852
DNM3-IT1,1,1,1,0,0,6,2
DNM3OS,117,135,366,199,78,142,86
MIR214,2,1,6,4,2,1,1
MIR3120,2,1,5,2,2,1,1
MIR199A2,9,7,15,10,6,8,10
LOC102724528,23,4,29,16,17,25,30
C1orf105,19,13,12,29,12,19,12
PIGC,73,39,117,198,85,174,113
SUCO,800,281,849,1122,913,892,948
FASLG,9,0,6,7,7,1,3
LOC107985225,0,1,1,1,4,1,8
LOC105371618,5,0,5,2,5,6,15
TNFSF18,2,0,7,2,32,1,4
TNFSF4,433,70,446,639,331,254,430
LOC100506023,54,8,52,53,46,45,49
LOC107985227,20,5,25,43,25,20,30
PRDX6-AS1,11,1,7,23,13,12,18
PRDX6,1120,480,996,1904,1443,883,1862
SLC9C2,4,4,2,5,5,7,8
TEX50,2,8,9,9,5,3,12
ANKRD45,5,17,20,16,13,19,19
LOC105371619,0,1,1,1,0,1,1
KLHL20,252,115,266,375,252,279,328
CENPL,33,56,34,70,30,85,52
DARS2,200,268,204,540,228,265,256
GAS5-AS1,72,113,94,146,114,132,124
GAS5,544,886,635,1061,762,1227,1046
SNORD81,12,9,9,34,10,12,17
SNORD47,20,32,29,63,36,45,29
SNORD80,16,33,13,56,20,45,22
SNORD79,9,29,24,52,21,41,27
SNORD78,10,15,24,59,23,26,27
SNORD44,10,23,23,42,20,19,33
SNORA103,101,130,120,165,142,261,218
SNORD77,1,8,8,24,7,16,4
SNORD76,22,32,27,73,48,87,60
SNORD75,2,3,4,14,5,9,5
SNORD74,5,12,5,35,8,16,7
ZBTB37,829,289,647,1150,557,848,633
SERPINC1,1,2,6,2950,1,4,3
RC3H1,1307,578,1343,2229,1561,1612,1600
RC3H1-DT,0,1,0,5,0,4,1
RABGAP1L-DT,3,0,0,1,1,0,1
RABGAP1L,1329,530,903,1488,1125,1574,994
GPR52,69,30,24,70,61,58,74
RABGAP1L-AS1,24,15,12,21,16,42,9
LOC105371622,133,61,133,181,94,176,104
CACYBP,211,283,208,414,215,356,178
MRPS14,160,115,141,233,106,199,122
TNN,12,0,15,34,15,3,2
KIAA0040,596,208,311,1295,243,920,440
TNR,40,1,19,37,12,24,17
LOC105371623,3,0,1,1,1,3,0
LINC02803,8,6,7,15,18,27,32
LINC01657,0,0,0,1,0,4,1
COP1,765,377,666,1341,853,1340,871
MIR1843,5,2,4,9,7,12,5
SCARNA3,7,2,4,10,8,12,6
PAPPA2,10,3,4,60,12,39,15
ASTN1,52,4,12,5,51,19,27
MIR488,0,0,0,0,0,0,0
BRINP2,1,1,1,3,3,4,3
LOC105371625,1,0,0,1,0,0,1
LINC01645,2,0,1,1,0,1,0
LINC01741,0,0,0,1,0,1,0
CRYZL2P-SEC16B,79,154,72,617,71,1266,114
SEC16B,58,89,53,458,54,826,87
CRYZL2P,93,159,76,481,68,1142,91
RASAL2-AS1,8,11,24,33,24,20,14
RASAL2,879,353,1508,1971,1491,1252,1854
LOC105371630,52,21,81,154,102,80,58
LOC105371629,67,12,110,126,103,68,94
LOC101928866,0,0,0,0,1,2,1
TEX35,1,1,0,3,0,4,0
LOC105371631,0,0,0,0,0,0,0
C1orf220,22,17,12,35,12,25,10
LOC105371632,70,10,20,30,21,8,3
MIR4424,1,0,0,0,0,1,0
RALGPS2-AS1,228,42,92,265,128,130,103
RALGPS2,1403,313,438,1402,716,750,597
ANGPTL1,507,194,302,440,375,171,187
LOC102724754,7,3,0,9,1,7,0
FAM20B,646,387,808,1220,956,852,1410
TOR3A,432,123,273,476,638,249,383
ABL2,1878,448,4925,3083,7992,1052,4063
SOAT1,679,215,918,846,1237,305,752
AXDND1,7,2,6,7,2,19,11
NPHS2,0,0,1,0,0,3,1
TDRD5,9,41,2,28,1,7,15
LOC105371635,0,0,0,1,0,0,0
FAM163A,5,0,3,3,6,4,547
MIR12116,0,1,0,0,0,1,4
LOC105371634,1,0,1,4,5,5,147
LINC02818,1,1,2,8,3,13,16
TOR1AIP2,1024,892,1445,3216,1697,2582,1802
TOR1AIP1,760,260,678,933,747,390,606
LOC101928933,3,1,0,3,4,3,0
CEP350,2026,834,1788,3040,2249,2556,1856
LOC105371636,0,0,1,0,3,4,1
QSOX1,1042,559,840,2859,2105,3265,5098
LHX4,80,66,73,142,54,87,60
ACBD6,213,210,191,447,240,431,299
LHX4-AS1,25,19,11,38,14,35,21
LOC105371637,49,40,40,63,28,81,67
MIR3121,0,4,3,2,2,1,1
OVAAL,0,0,0,0,0,1,0
XPR1,414,167,506,790,651,446,1023
LOC107985230,7,0,12,12,20,13,26
LINC02816,2,0,3,2,3,3,6
KIAA1614,78,45,76,104,129,161,185
LOC107985231,6,1,2,6,7,7,3
KIAA1614-AS1,13,9,15,13,16,18,20
STX6,363,275,417,681,605,597,634
MR1,318,75,292,282,343,79,335
IER5,218,141,287,554,413,244,527
LINC01732,0,0,0,0,0,1,0
LINC01699,0,0,0,0,0,0,1
LOC107985454,0,0,0,0,0,0,0
CACNA1E,9,13,3,7,4,35,54
LOC107985232,0,0,0,0,0,1,0
LOC105371640,0,0,0,0,0,0,0
ZNF648,0,2,0,46,0,85,0
LOC105371642,0,0,0,13,0,20,0
LOC107985233,3,1,0,12,0,39,0
LINC01344,0,1,0,3,1,3,0
GLUL,5392,924,8345,9584,11386,4418,11507
TEDDM1,3,0,2,9,0,23,4
LINC00272,0,0,0,0,0,3,0
RGSL1,0,0,0,6,0,14,0
RNASEL,228,37,103,358,166,223,138
RGS16,156,30,113,443,206,421,134
LINC01686,3,0,1,4,4,1,1
RGS8,0,1,2,1,1,10,0
LINC01688,0,0,0,0,0,0,0
NPL,366,62,232,244,690,325,316
DHX9-AS1,71,31,68,101,81,69,63
DHX9,1473,1113,1412,2772,1880,2117,1746
SHCBP1L,0,1,0,1,0,0,0
LAMC1,3281,833,3275,5046,5428,2503,8148
LAMC1-AS1,28,5,22,30,42,16,54
LAMC2,1076,457,957,10243,434,4814,6198
NMNAT2,94,11,61,189,36,185,582
LOC105371646,0,0,0,1,0,3,0
SMG7-AS1,6,14,6,35,12,20,10
SMG7,683,549,401,1224,689,1700,752
NCF2,302,63,253,347,248,258,412
LOC107985235,1,5,0,0,0,3,0
ARPC5,801,531,1165,1739,1450,1396,1557
RGL1,1027,106,664,455,1109,383,471
APOBEC4,3,4,2,25,4,17,7
COLGALT2,36,8,42,43,78,48,444
TSEN15,131,133,99,238,129,196,122
LOC102724830,8,6,0,4,3,9,3
C1orf21,408,222,523,730,550,679,290
LOC102724857,70,27,38,81,57,66,32
LOC107985236,162,92,189,306,184,209,107
LOC105371648,4,0,7,2,8,9,1
EDEM3,892,489,956,4007,1251,1690,977
LOC105371649,10,1,11,11,7,13,13
NIBAN1,710,169,872,927,1180,176,1264
LOC107985238,17,4,20,17,44,3,9
LINC01633,0,0,0,0,0,0,0
RNF2,177,68,305,320,278,251,198
TRMT1L,254,129,131,374,180,243,155
SWT1,211,66,148,181,166,241,128
LOC105371651,4,4,2,8,7,6,5
IVNS1ABP,1605,523,1364,3991,2993,1975,1870
GS1-279B7.1,3,0,2,6,0,5,1
LOC107985455,1,0,1,0,0,0,1
LOC107985239,1,0,1,2,1,5,0
LINC01350,0,0,0,0,0,1,0
GS1-204I12.4,0,0,0,6,0,5,0
HMCN1,725,276,1524,1296,772,408,165
LOC105371654,10,2,8,17,5,7,0
PRG4,240,28,401,844,207,100,2198
TPR,2587,1404,2284,4246,2758,3743,2943
ODR4,338,173,344,717,450,530,361
PDC-AS1,17,4,7,22,16,16,3
PDC,24,3,11,18,14,32,7
PTGS2,198,4,600,1617,854,241,415
PACERR,1,0,1,11,3,6,2
PLA2G4A,104,37,122,145,131,62,59
LINC01036,4,1,1,0,3,1,0
LOC105371655,1,0,2,1,0,0,0
LINC01037,3,2,0,1,1,0,0
LOC105371656,0,0,6,0,1,0,0
LOC105371657,0,0,0,29,0,31,0
LINC01701,0,6,0,1,0,1,0
BRINP3,29,0,18,286,0,6,15
LOC105371659,7,0,1,28,0,0,2
LOC105371658,5,0,2,72,0,3,1
BRINP3-DT,2,0,0,9,0,2,1
LINC01720,0,0,0,0,0,1,0
LINC01680,0,0,0,0,0,3,0
LINC02770,0,0,0,1,0,0,0
LOC105371661,0,0,0,0,0,1,1
RGS18,68,5,40,45,83,10,64
LOC105371662,0,1,0,1,0,4,0
RGS21,1,1,0,5,1,9,0
LOC105371664,7,5,6,15,29,32,2
RGS1,1138,53,1880,861,6206,611,3280
LOC107985241,5,1,11,8,28,13,8
RGS13,67,4,17,10,41,19,2
MIR4426,37,16,40,58,28,45,22
LOC105371665,1,2,1,2,2,4,1
RGS2,621,52,1334,934,4202,225,2656
LOC105371668,1,0,1,0,0,0,1
LOC105371667,2,0,0,3,1,8,0
RGS2-AS1,7,2,2,5,5,7,0
UCHL5,388,334,353,657,404,624,315
SCARNA18B,2,1,3,1,0,4,3
RO60,990,494,1175,1511,1133,948,1073
GLRX2,32,32,44,70,50,66,39
LOC101929160,33,16,28,50,50,53,42
CDC73,814,297,714,936,838,881,791
MIR1278,1,1,3,1,0,1,1
B3GALT2,140,51,100,136,126,159,142
LINC01031,2,0,5,6,4,4,5
LOC107985242,19,2,7,22,4,10,5
LOC105371670,0,0,0,0,0,0,0
LOC107985458,0,0,0,1,0,0,1
LOC105371671,3,10,0,3,0,6,13
LOC105371672,0,0,0,0,0,5,1
LINC01724,2,0,1,0,0,0,0
LOC105371674,0,0,0,0,0,2,0
KCNT2,270,57,455,410,380,60,465
MIR4735,0,0,2,2,1,0,0
CFH,1830,351,6630,7748,7389,228,7888
CFHR3,7,4,26,1362,32,2,27
CFHR1,33,2,104,1222,121,7,119
CFHR4,2,0,0,300,0,0,0
LOC105371675,0,0,0,13,0,2,0
CFHR2,0,0,0,386,0,1,0
CFHR5,0,0,0,221,0,3,1
F13B,0,0,0,317,0,2,0
ASPM,106,613,83,890,117,893,143
ZBTB41,423,259,543,857,555,575,450
CRB1,3,3,6,27,3,3,5
DENND1B,858,306,574,1177,641,975,551
C1orf53,0,4,5,19,7,4,3
LHX9,2,49,36,20,15,10,5
NEK7,968,370,1200,1356,1306,931,935
LOC105371677,5,0,0,1,0,0,0
ATP6V1G3,0,0,1,0,0,0,0
PTPRC,4195,54,2708,2131,3555,358,1323
MIR181A1HG,47,5,37,26,71,30,44
MIR181B1,0,1,2,4,2,0,0
MIR181A1,1,1,5,3,3,0,0
LOC105371679,0,0,0,0,1,1,0
LINC01222,0,0,0,0,0,0,0
LINC01221,0,0,0,0,0,0,0
LOC107985243,0,0,0,0,0,0,0
LINC02789,0,0,0,1,0,2,0
LOC105371680,0,0,0,0,0,0,0
LOC105371682,0,0,0,1,0,0,0
NR5A2,94,69,33,335,25,285,41
LOC107985244,11,9,3,30,4,36,1
LINC00862,7,2,4,22,19,12,8
ZNF281,372,158,693,870,677,515,583
LOC107985459,0,0,0,0,0,3,0
KIF14,25,209,25,360,32,365,75
DDX59,202,72,174,283,159,216,114
DDX59-AS1,2,0,2,2,1,3,3
CAMSAP2,1023,336,1400,1302,1846,832,1434
GPR25,1,0,0,1,0,0,1
LOC107985245,2,0,0,2,0,1,0
INAVA,158,397,43,1312,3,2028,133
MROH3P,11,6,2,56,1,40,2
KIF21B,398,246,151,565,479,1267,422
LOC101929305,0,0,0,5,0,8,0
CACNA1S,0,1,0,580,0,7,0
ASCL5,0,1,0,0,0,12,0
TMEM9,182,119,159,343,220,224,292
IGFN1,586,20,154,767,42,237,62
PKP1,57,65,14,158,13,226,56
LOC101929326,0,1,0,0,0,1,0
TNNT2,11,19,6,92,2,35,5
LAD1,99,881,75,1619,6,2232,216
LOC101929343,5,24,2,51,0,47,4
TNNI1,6,50,1,436,0,79,6
LOC101929367,0,0,0,2,0,0,0
PHLDA3,194,69,199,272,156,229,495
CSRP1,1266,633,1049,2291,971,977,978
CSRP1-AS1,56,86,27,98,44,130,31
RPS10P7,11,11,6,27,9,25,9
NAV1,1343,194,1313,1121,3125,915,9168
IPO9-AS1,40,17,31,46,75,43,251
MIR5191,3,0,1,1,2,4,6
MIR1231,2,1,2,4,6,4,34
IPO9,680,462,553,1167,728,932,1337
MIR6739,5,6,5,9,4,10,19
SHISA4,20,11,42,44,51,33,142
LMOD1,348,338,219,283,415,227,186
TIMM17A,160,148,210,438,263,262,259
SNORA70H,0,0,0,0,0,4,0
RNPEP,258,263,233,768,318,1030,605
LOC112268254,33,60,36,83,31,203,78
ELF3-AS1,8,20,8,60,3,125,20
MIR6740,1,1,1,1,2,10,2
ELF3,389,603,131,5656,14,6235,1702
LOC105371684,0,2,0,5,0,3,0
GPR37L1,18,12,21,27,25,58,44
LOC105371683,0,0,0,0,1,2,0
ARL8A,199,98,170,312,336,332,412
PTPN7,157,376,94,110,185,43,140
PTPRVP,14,45,6,12,15,5,18
LGR6,19,41,12,41,31,145,7
LOC101929388,0,1,3,5,3,15,1
UBE2T,9,56,16,81,10,52,19
PPP1R12B,2766,1130,1726,2552,2154,2212,2117
SYT2,108,36,45,100,103,120,47
LOC105371686,33,8,8,21,23,25,8
KDM5B,816,608,1138,2531,1753,2139,2376
PCAT6,4,3,1,6,8,26,21
MGAT4EP,0,0,0,6,0,3,1
ACTG1P25,1,2,0,13,2,2,3
RABIF,50,30,59,151,68,110,45
KLHL12,234,191,224,594,244,509,231
ADIPOR1,545,332,510,1248,887,951,794
CYB5R1,184,54,113,472,216,162,284
MGAT4FP,2,2,0,8,0,7,1
TMEM183A,265,251,255,730,321,509,386
PPFIA4,21,2,49,115,221,189,746
LOC105371687,0,0,2,1,3,4,7
MYOG,0,1,0,171,2,0,1
MYOPARR,0,2,0,26,0,0,0
ADORA1,21,1,15,14,31,10,101
MYBPH,5,1,0,338,5,2,4
CHI3L1,238,16,350,4640,1063,307,1662
CHIT1,28,17,22,172,38,102,4
LINC01353,8,1,2,1,38,6,4
BTG2-DT,19,0,0,9,24,5,4
BTG2,3293,309,858,2456,4003,542,1581
FMOD,670,444,1112,1479,1723,309,1922
LOC102723529,12,1,2,2,0,16,2
BMNCR,0,4,0,17,0,39,3
PRELP,480,56,601,520,536,265,371
OPTC,1,4,3,1,10,4,3
LOC105371688,1,2,0,1,6,1,3
ATP2B4,2416,701,3097,2435,6259,2327,8151
SNORA77,16,4,6,13,20,6,27
LINC00260,29,13,46,36,54,24,83
LOC102723543,23,7,51,39,44,28,89
LAX1,462,0,116,118,388,17,9
ZC3H11A,2222,1289,2128,3896,2906,3621,2773
ZBED6,828,569,1020,1674,1234,1426,1359
SNRPE,163,186,177,338,175,214,120
LOC105371689,0,0,0,0,0,6,0
LINC00303,0,1,0,0,0,1,0
SOX13,149,230,68,366,120,1342,125
ETNK2,20,12,37,219,62,22,59
ERLNC1,1,1,1,21,4,1,8
REN,0,5,0,5,0,8,0
KISS1,0,2,1,2,1,18,0
GOLT1A,0,19,5,113,0,107,6
PLEKHA6,291,934,198,2076,256,2886,571
LINC00628,0,13,0,29,3,37,5
PPP1R15B,2231,669,1979,3547,3417,1370,2035
PIK3C2B,530,515,177,1283,385,2333,426
TRK-TTT3-1,47,0,50,32,14,0,15
TRK-TTT3-2,1,0,1,0,0,1,1
MDM4,2209,1049,1271,2595,1979,2217,1810
LOC105371692,232,28,74,172,103,62,95
LRRN2,164,8,148,86,260,39,231
LOC105371693,4,0,2,1,3,1,0
LOC105371695,0,1,0,0,0,5,0
LOC105371694,0,0,0,1,0,2,0
NFASC,564,225,170,465,345,172,160
CNTN2,18,0,3,16,12,30,13
TMEM81,10,8,8,30,7,33,10
RBBP5,267,219,156,436,284,406,208
DSTYK,381,141,351,449,476,394,500
TMCC2,19,3,9,13,23,10,45
TMCC2-AS1,0,0,0,3,0,4,4
NUAK2,121,122,46,144,131,300,100
KLHDC8A,7,74,3,9,13,16,28
LEMD1-AS1,4,16,3,14,3,103,2
LOC105371698,1,1,0,1,0,13,0
LEMD1,7,53,2,64,1,285,5
BLACAT1,8,93,3,111,1,291,22
MIR135B,0,8,0,3,0,22,1
LEMD1-DT,0,3,0,2,1,5,0
TRK-TTT8-1,0,0,0,0,0,0,0
CDK18,84,266,66,258,143,571,927
MFSD4A-AS1,13,2,5,19,2,13,9
MFSD4A,100,17,48,244,27,83,50
ELK4,1636,530,1493,2583,1514,1465,1283
SLC45A3,44,62,31,358,37,188,101
LOC105371701,3,4,2,8,1,9,1
NUCKS1,2810,2880,3349,4582,3490,2514,3426
RAB29,232,61,153,295,175,153,313
LOC105371702,3,0,0,0,3,1,0
SLC41A1,277,106,159,476,324,303,618
PM20D1,39,2,9,173,6,14,10
LOC107985250,16,0,0,106,0,2,0
LOC284581,106,1,0,378,3,9,1
SLC26A9,7,8,12,345,3,23,386
SLC26A9-AS1,23,2,28,37,80,11,127
LOC103021295,19,9,13,22,27,16,21
RAB7B,78,15,132,117,381,54,491
CTSE,461,137,530,2559,63,2140,3531
RHEX,31,0,14,19,18,4,1380
LOC105372857,28,0,14,26,24,0,725
AVPR1B,3,1,3,1,4,7,739
LOC105372869,0,0,0,0,0,2,58
LOC105372873,0,0,0,0,0,1,0
FAM72A,38,39,36,60,66,66,51
SRGAP2,831,130,898,961,2214,757,2295
IKBKE,137,114,60,175,133,441,213
MIR6769B,0,0,0,1,0,1,0
RASSF5,563,35,327,356,706,99,454
EIF2D,318,235,255,547,361,412,444
DYRK3-AS1,23,3,22,23,62,8,35
DYRK3,543,25,1159,600,1752,98,876
MAPKAPK2,1009,298,727,1695,1733,1028,1736
LOC105372877,19,0,18,30,89,9,50
IL10,24,0,27,33,130,7,47
IL19,5,0,8,9,38,5,16
LOC105372878,0,0,0,1,0,4,2
IL20,8,1,2,0,2,3,7
LOC105372879,3,0,1,0,0,1,2
IL24,96,2,32,67,23,9,24
FCMR,554,5,142,296,161,20,63
PIGR,3997,7014,659,22334,16,1839,2845
FCAMR,15,15,0,3,0,51,3
C1orf116,106,336,74,948,5,969,96
LOC107984109,0,0,0,4,1,3,3
YOD1,445,256,300,913,240,455,362
PFKFB2,377,346,292,1474,313,843,581
C4BPB,161,3,49,827,17,162,147
C4BPA,5,9,4,1833,16,37,42
LOC107985251,7,8,6,222,11,14,6
CD55,1795,568,1326,12486,1218,2520,3340
LOC105372880,0,0,0,0,0,1,0
CR2,505,0,229,58,13,10,3
CR1,670,31,392,205,917,172,444
CR1L,10,1,6,4,14,4,6
CD46,1713,1275,1442,4759,1281,5388,2035
MIR29B2CHG,179,68,103,374,253,111,476
MIR29C,10,4,8,31,14,3,31
MIR29B2,3,1,3,9,6,0,11
LOC148696,216,73,93,322,314,124,498
CD34,672,80,198,388,370,135,225
LOC107985253,6,3,4,9,2,7,1
LINC02767,5,6,1,22,0,7,4
PLXNA2,597,277,828,1675,1262,1089,3534
LOC105372887,47,8,27,49,58,41,126
LOC105372884,93,19,63,111,72,72,125
LOC105372888,1,1,4,0,1,2,3
LOC105372889,0,0,0,0,0,1,2
LOC107985460,0,0,0,1,1,2,0
LINC01735,13,0,2,8,12,5,2
LINC02769,43,3,4,6,25,8,2
LOC105372892,39,1,9,12,44,3,1
LINC01717,10,0,1,2,12,1,1
LOC107985255,37,1,12,6,104,0,0
LINC01774,4,0,1,1,5,0,0
LOC105372895,45,0,16,6,68,9,0
LOC105372896,2,0,1,0,0,4,0
LINC01696,0,0,0,0,0,1,0
LINC01698,0,0,0,0,0,2,0
MIR205HG,0,1,1,2,0,2,0
MIR205,0,0,0,0,0,0,0
LOC105372898,0,0,1,0,0,2,0
LOC105372899,0,0,0,0,0,1,0
LOC107985256,2,2,1,3,0,6,1
CAMK1G,18,13,8,86,4,23,14
LAMB3,675,427,394,6634,62,2571,592
MIR4260,9,8,5,111,0,45,12
HSD11B1-AS1,4,1,5,16,6,7,7
G0S2,287,8,37,330,159,319,201
HSD11B1,53,47,56,559,61,66,55
TRAF3IP3,363,23,88,216,135,55,87
C1orf74,123,44,41,161,33,83,26
IRF6,150,365,83,1842,7,1378,131
UTP25,211,219,230,606,237,543,355
SYT14,0,23,0,9,0,24,57
SERTAD4-AS1,5,9,10,7,5,3,8
SERTAD4,34,15,17,46,4,9,11
LINC02602,1,0,0,1,0,3,1
HHAT,106,15,66,109,53,74,107
KCNH1,31,6,15,41,7,13,8
LOC105372901,5,0,1,1,0,8,5
KCNH1-IT1,0,0,0,3,0,0,0
LOC105372902,2,0,3,4,2,5,2
RCOR3,519,352,424,830,373,960,773
TRAF5,865,486,650,1281,555,1722,780
LOC107985258,7,5,5,8,10,21,5
LINC00467,31,36,17,38,20,58,14
LOC107985259,10,8,5,13,4,10,2
RD3,3,0,2,3,0,6,0
LOC107985261,0,1,0,0,0,1,0
LOC107985260,0,0,0,0,0,2,0
SLC30A1,450,265,977,1476,876,802,615
LOC105372903,10,1,5,1,6,2,6
NTRAS,0,0,0,1,0,1,1
NEK2,9,107,11,200,6,161,18
NEK2-DT,0,0,0,1,0,1,0
LOC105372904,0,0,0,0,0,0,0
LPGAT1,1024,673,966,2662,931,2288,1091
LPGAT1-AS1,2,1,4,14,3,9,7
INTS7,184,159,123,447,185,435,117
DTL,24,97,16,240,22,123,38
RPL21P28,80,86,69,149,84,100,46
MIR3122,0,2,0,0,0,0,0
LINC02608,2,2,0,4,1,4,2
PPP2R5A,526,298,428,1011,545,653,498
LOC107985262,30,11,23,68,26,22,11
SNORA16B,7,3,4,12,7,5,7
PACC1,84,35,37,127,97,156,71
LOC105372906,0,0,0,3,0,5,5
NENF,167,56,164,276,276,162,262
LINC02771,0,0,3,0,6,3,0
LOC105372908,0,0,0,1,0,1,0
LINC01740,0,0,0,0,0,1,0
ATF3,865,79,390,3517,3011,562,1319
GARIN4,6,0,0,16,20,1,22
LINC02773,26,0,16,11,25,19,11
BATF3,26,1,34,46,135,31,66
NSL1,299,126,273,418,226,287,218
TATDN3,115,41,91,114,86,108,75
SPATA45,0,0,1,2,3,1,1
FLVCR1-DT,2,1,3,17,8,10,11
FLVCR1,160,168,184,404,159,401,235
VASH2,82,13,95,57,49,39,20
ANGEL2,408,165,332,465,257,504,299
RPS6KC1,359,130,418,557,503,374,503
LOC105372912,2,0,1,34,0,13,0
PROX1-AS1,1,5,0,55,0,27,0
LINC00538,1,3,0,22,1,4,0
PROX1,131,153,38,2002,82,985,49
LINC02775,0,1,0,0,0,1,0
SMYD2,148,141,176,348,206,475,328
LOC107985263,22,21,32,49,38,52,44
PTPN14,1002,276,2252,1776,2113,1412,2565
CENPF,154,913,189,1523,217,2046,369
LOC105372916,0,0,0,0,0,2,0
LOC105372915,0,1,0,1,0,0,0
KCNK2,0,1,39,72,37,6,5
LOC105372919,2,1,3,6,3,1,3
KCTD3,462,472,895,1481,723,923,1078
USH2A,18,17,32,86,7,34,15
USH2A-AS2,0,0,0,0,0,1,0
USH2A-AS1,0,2,0,0,0,4,0
LOC107985596,0,0,0,0,0,0,0
ESRRG,12,5,1,37,3,13,44
LOC107985461,0,1,0,0,0,0,0
LOC105372920,0,0,0,0,1,0,0
GPATCH2,425,313,492,745,509,711,721
SPATA17,4,24,14,34,14,30,12
SPATA17-AS1,1,1,1,2,3,7,2
LINC00210,0,0,0,0,0,1,0
LOC105372922,0,0,0,0,0,3,0
LINC01653,0,0,0,0,0,0,0
LOC105372923,0,0,0,0,0,2,0
RRP15,273,203,262,453,253,344,221
TGFB2-AS1,3,1,1,7,4,1,4
TGFB2,37,31,38,183,56,36,101
TGFB2-OT1,6,6,8,24,6,3,13
LINC02869,0,0,0,0,0,1,0
LOC105372924,0,0,0,1,0,2,0
LINC01710,1,0,0,0,0,0,0
LYPLAL1-DT,6,3,2,4,3,9,1
LYPLAL1,281,160,197,380,174,305,186
LOC107984018,22,6,15,20,9,15,14
LYPLAL1-AS1,2,1,1,0,2,3,8
LOC107985272,0,0,3,0,0,1,2
ZC3H11B,68,32,67,101,73,108,90
LOC105372926,1,3,1,7,2,4,0
SLC30A10,0,0,0,389,1,5,2
LOC107985281,0,0,0,0,0,2,0
EPRS1,1003,830,845,1828,1053,2312,1022
BPNT1,114,112,103,405,98,431,137
IARS2,514,590,411,1349,501,900,610
LOC105373475,4,4,2,4,1,9,4
MIR215,5,8,4,1,1,8,1
MIR194-1,1,0,2,1,2,5,5
RAB3GAP2,835,418,759,1353,978,1031,916
MIR664A,4,4,4,4,0,3,1
SNORA36B,4,4,4,5,1,3,1
AURKAP1,51,15,62,117,58,83,57
LINC02779,0,0,0,1,0,0,0
LOC105372928,0,0,0,0,0,4,0
MARK1,177,7,104,99,134,105,81
C1orf115,137,23,43,307,27,211,39
MTARC2,107,67,45,476,40,132,45
MTARC1,177,181,19,233,12,198,12
RNU6ATAC35P,8,1,0,6,0,6,0
LINC01352,23,0,15,16,2,7,1
HLX-AS1,10,1,10,9,8,10,5
HLX,73,2,79,91,160,67,89
LOC105372930,1,0,0,0,0,0,0
LOC101929750,13,1,11,7,4,9,2
LOC107985296,21,0,14,19,9,7,1
LOC105372932,1,0,1,2,0,1,1
LINC02817,2,1,6,6,1,4,1
LOC105372934,0,0,0,0,0,0,0
LOC107985462,0,0,0,13,0,2,0
LOC105372937,0,0,0,1,0,0,2
DUSP10,209,96,248,1374,238,409,815
LOC105372945,19,19,30,253,30,46,129
LOC107985300,0,2,0,2,0,1,0
LINC01655,0,1,4,16,2,15,13
LINC02257,1,0,4,35,3,45,33
LINC02474,0,1,1,8,0,22,2
LINC01705,1,0,11,177,11,124,125
TRT-TGT2-1,0,0,0,0,0,0,0
LOC105372956,3,3,2,6,7,10,6
HHIPL2,17,8,10,36,20,48,26
TAF1A,83,102,43,274,62,252,57
TAF1A-AS1,3,1,0,12,0,5,3
LOC107985318,1,0,1,2,0,2,0
MIA3,1431,875,1197,4576,1499,2267,1501
AIDA,586,151,643,777,654,453,564
BROX,496,407,654,1099,573,978,527
FAM177B,175,3,76,717,24,10,69
LOC105372984,13,0,9,34,2,2,0
DISP1,199,41,156,189,182,134,178
LOC102724046,2,0,1,1,0,6,3
LOC107985323,5,1,3,4,5,14,2
TLR5,143,18,174,91,193,43,98
SUSD4,8,9,18,48,7,16,35
LOC105373025,1,0,0,0,0,1,0
CCDC185,0,0,0,0,0,4,1
LOC105373034,0,0,0,1,0,0,0
CAPN8,150,504,143,2800,6,2662,403
LOC105373281,3,1,2,3,5,5,5
CAPN2,2017,785,2878,4417,4256,4758,7941
LOC105373046,55,14,68,96,82,63,89
LOC105373041,26,6,40,36,60,24,79
TP53BP2,612,218,945,1083,1873,870,1923
GTF2IP20,59,31,28,168,90,185,53
SEPTIN7P13,169,77,102,219,107,176,105
LOC105373061,0,1,0,2,0,3,0
LOC105373056,0,0,0,1,0,3,0
FBXO28,386,221,393,893,444,572,337
DEGS1,325,75,530,554,617,173,629
LOC101927143,0,1,1,4,6,0,0
LOC101927164,7,6,7,23,8,16,4
NVL,241,203,179,427,171,497,262
MIR320B2,2,2,3,4,2,4,2
CNIH4,125,110,225,438,214,285,340
WDR26,1753,612,1727,3127,2173,2150,2276
MIR4742,14,4,10,22,9,12,7
CNIH3,20,9,17,69,17,44,30
CNIH3-AS2,7,0,1,12,2,12,7
CNIH3-AS1,5,4,4,24,2,15,8
LINC02813,3,0,1,5,1,4,1
LOC105373108,1,0,0,5,0,1,0
LOC105373109,0,0,1,2,0,1,0
